Track ID,Track Name,Artist Name,Album Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Tempo,Time Signature,Valence
0z7IeekUiNaQvmGQhsfJdl,After the Rain - Piano Solo,Kyson,atr/cal (Piano Solo),48,0.984,0.601,179439,0.0971,0.91,107.003,4,0.15
0ZfByLXCeKchuj7zi1CJ0S,Stolen Dance,Milky Chance,Sadnecessary (Bonus Track Version),76,0.412,0.879,313627,0.565,0.000239,114.009,4,0.685
0zKbDrEXKpnExhGQRe9dxt,Lay Low,Tiësto,Lay Low,82,0.0607,0.534,153443,0.855,0.000263,122.06,4,0.42
0ZNYGrmcehorhh9JOeg5Iv,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),70,0.726,0.714,266907,0.306,0.168,129.984,4,0.314
0zoGVO4bQXG8U6ChKwNgeg,4:00A.M.,Taeko Onuki,MIGNONNE (Mastered by Bernie Grundman),69,0.341,0.631,336960,0.644,0.000411,103.376,4,0.861
10V8XpuyMoEcSMfM79WDET,Living Dead Girl,Rob Zombie,Hellbilly Deluxe,73,0.00504,0.518,201400,0.948,0.104,103.025,4,0.55
10xV5l9nhLvFpR8mqzs0bL,Numb,Marshmello,Numb,81,0.121,0.912,155589,0.774,0.0127,119.966,4,0.632
119c93MHjrDLJTApCVGpvx,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],78,0.57,0.479,252187,0.549,0.0235,180.985,4,0.576
11iIikXxC6NP0Ma8vMD27x,Alien Blues,Vundabar,Gawk,83,0.0807,0.467,155933,0.757,0.908,82.282,4,0.433
11Rm75lU5EmETsTR22C0gT,Rolling Ocean Waves,Ocean Waves For Sleep,"Waves of the Sea, Ocean and Lakes",69,0.813,0.127,96872,0.941,0.988,82.144,3,1.00E-05
147jTPnoWjZnbF6r7NFnsI,Bury Me Beneath The Willow - from The Hunger Games: The Ballad of Songbirds & Snakes,Molly Tuttle,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),45,0.86,0.563,222089,0.495,0.0000133,89.998,4,0.78
14OxJlLdcHNpgsm4DRwDOB,Habits (Stay High),Tove Lo,Queen Of The Clouds,77,0.0702,0.729,209160,0.65,0.0000669,110.02,4,0.347
15BDY6GKFfk02WaoyytP9g,Liquor & Cigarettes (feat. ArrDee),Chase & Status,Liquor & Cigarettes (feat. ArrDee),76,0.073,0.578,189257,0.978,0.0000014,174.937,4,0.594
15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,At What Cost,80,0.133,0.728,176702,0.607,0,129.938,4,0.445
15ouqiBsgL12olEwP3COsH,Águas De Março,Elis Regina,Elis & Tom,69,0.865,0.654,214366,0.393,0.00000297,143.801,4,0.533
16D5bGymrzpi9ZlnYXB5ql,Gimme Chocolate!!,BABYMETAL,BABYMETAL,63,0.000282,0.616,230613,0.985,0.000144,109.978,4,0.44
18asYwWugKjjsihZ0YvRxO,The Motto,Tiësto,The Motto,80,0.0301,0.754,164819,0.763,0.0000223,117.953,4,0.464
18UDolpvPEqVzIE69xobUQ,Cornbread & Greens (feat. Big Pokey),Cupid,Dance Party King,39,0.0313,0.69,254171,0.688,0.0000204,203.648,4,0.794
19vHgVS1aukRiQWhTqfKnE,DArkSide,Bring Me The Horizon,DArkSide,80,0.000352,0.387,164791,0.94,0.00000318,167.91,4,0.456
19zPT36WogsfBd8HIaUnt4,Castaway,Yuna,Rouge,47,0.0223,0.623,269893,0.761,0.000246,99.055,4,0.456
1ACZpHI5vZ5Ea4xGlkdGWM,Crazy Rap (Colt 45 & 2 Zig Zags),Afroman,The Good Times,73,0.325,0.927,328667,0.367,0,99.053,4,0.576
1AN4ufCCVjezLyl6QBlFrq,Kani (Day),Porya Hatami,Kani + Remixes,33,0.97,0.101,537611,0.103,0.93,83.575,3,0.0334
1auX4gkGe7hbrOH0BXdpV4,Firestarter,The Prodigy,The Fat of the Land,53,0.00335,0.545,279800,0.948,0.364,141.507,4,0.355
1AWgd4xzA0q0dlBxVokiqe,"Dhoom Machale (From ""Dhoom"")",Pritam,House Party Playlist,1,0.0556,0.785,375118,0.912,0.000133,101.449,4,0.447
1aXV8GrmQLvgoFtBPERP7E,Jealous,Eyedress,Jealous,86,0.00491,0.474,122339,0.921,0.85,93.01,4,0.696
1bkvGbgK4HU8B7Ue4k7O7I,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,光年之外 (電影 《Passengers》 中國區主題曲),66,0.4,0.539,235505,0.668,0,175.867,4,0.238
1BncfTJAWxrsxyT9culBrj,Experience,Ludovico Einaudi,In A Time Lapse,80,0.934,0.447,315427,0.449,0.961,92.468,4,0.036
1BqzzWlA868p8J5VIbp50A,Better Days,Currents,The Way It Ends,63,0.000624,0.372,247747,0.978,0.0000222,76.359,4,0.214
1BvH7uwfVVIZhqZjR1Vykj,Online - Ao Vivo,Henrique & Juliano,Pior Parte,0,0.588,0.47,183308,0.694,0,171.615,4,0.56
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,Lover,99,0.117,0.552,178427,0.702,0.0000206,169.994,4,0.564
1c6C2wg7PRbPBRRUaEvheC,PONPONPON,Kyary Pamyu Pamyu,ぱみゅぱみゅレボリューション,56,0.0469,0.634,242827,0.988,0.000684,128.022,4,0.91
1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,Adele,21,83,0.138,0.73,228093,0.769,0,104.948,4,0.507
